method,corruption,repeat_index,seed,selection_rule,mse,mae,rmse,ntae,clea,crps,picp_90,mpiw_90,time_per_call_seconds
CVAE,clean,3,20260513,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.370475774483058,0.7944120857395002,1.1706732142161014,1.1211749432564686,-4.012096589956914,0.6272053537652688,0.3848031424326521,1.1790333731219316,0.004876642180840388
CVAE,missing_0.20,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.442964005788268,0.8075779329861924,1.2012343675520893,1.1386851317988969,-3.950816309835436,0.639208776100234,0.38632873601883777,1.1542584340642466,0.005300133450684474
CVAE,missing_0.40,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.5538417211451723,0.8255584103759102,1.2465318773080665,1.1617866358422149,-3.932861177297997,0.657684446196946,0.38703234939590164,1.132738433311021,0.005010112994901275
CVAE,missing_0.60,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.6636353243956714,0.8457251977964643,1.2898198806018115,1.1875677727321665,-3.945580394483644,0.6781596374752323,0.3832419476915314,1.1120403263547691,0.004726525905164873
CVAE,noise_0.05,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.3705927700034573,0.794229932350931,1.1707231824831426,1.1208157021067455,-4.014995374736007,0.6273406316431157,0.38473194012278195,1.1801046230113093,0.00519885286842356
CVAE,noise_0.10,4,20260514,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.3688477868046485,0.7934500992292445,1.169977686455878,1.1196722351922581,-4.00690818318332,0.6267384817793201,0.38533274465281864,1.1787351170671039,0.005070224182353118
CVAE,noise_0.20,5,20260515,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.3691627815894158,0.7928752483980872,1.1701122944356306,1.1189552844428805,-4.002714305031297,0.6262852045032257,0.3855589661648866,1.1779632728291571,0.0050544229429549
CVAE,scale_0.80,1,20260511,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.4409545956508023,0.8398367150239626,1.2003976822914988,1.1866251934411685,-4.384789960111701,0.6580708712301473,0.35989543912763156,1.1955986734196224,0.0052919553452602
CVAE,scale_1.20,3,20260513,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,1.3258445559229237,0.7619719940020119,1.1514532365332617,1.0738006642914177,-3.7137352567683743,0.6047707015376708,0.40347868135564713,1.1580666537064699,0.005103491680649873
CVAE,wrong_cue,2,20260512,lowest_ntae_then_highest_clea_then_lowest_rmse_then_lowest_crps,2.491172664772993,1.0525012699053198,1.5783449131203842,1.4837793061882154,-4.470994617064517,0.8589355341791255,0.3162042721385922,1.1883544804000394,0.004976005976064978
